Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2024-06-09,AS,American Samoa,WPR,0,8359,0,34
2024-06-28,AS,American Samoa,WPR,0,8359,0,34
2024-08-31,AS,American Samoa,WPR,0,8359,0,34
2024-09-23,AS,American Samoa,WPR,0,8359,0,34
2024-10-10,AS,American Samoa,WPR,0,8359,0,34
2024-10-24,AS,American Samoa,WPR,0,8359,0,34
2024-12-07,AS,American Samoa,WPR,0,8359,0,34
2025-01-29,AS,American Samoa,WPR,0,8359,0,34
2025-02-06,AS,American Samoa,WPR,0,8359,0,34
2025-05-12,AS,American Samoa,WPR,0,8359,0,34
2025-05-21,AS,American Samoa,WPR,0,8359,0,34
2025-05-27,AS,American Samoa,WPR,0,8359,0,34
2025-05-30,AS,American Samoa,WPR,0,8359,0,34
2025-06-03,AS,American Samoa,WPR,0,8359,0,34
2025-06-22,AS,American Samoa,WPR,0,8359,0,34
2020-01-26,AD,Andorra,EUR,0,0,0,0
2020-03-07,AD,Andorra,EUR,0,1,0,0
2020-03-21,AD,Andorra,EUR,19,94,0,0
2020-03-22,AD,Andorra,EUR,39,133,1,1
2020-04-07,AD,Andorra,EUR,17,540,4,21
2020-04-12,AD,Andorra,EUR,20,622,2,28
2020-04-15,AD,Andorra,EUR,8,659,2,31
2020-04-23,AD,Andorra,EUR,1,724,0,37
2020-04-29,AD,Andorra,EUR,1,742,1,42
2020-06-13,AD,Andorra,EUR,1,853,0,51
2020-06-19,AD,Andorra,EUR,1,855,0,52
2020-06-25,AD,Andorra,EUR,0,855,0,52
2020-07-12,AD,Andorra,EUR,0,855,0,52
2020-07-16,AD,Andorra,EUR,1,862,0,52
2020-09-06,AD,Andorra,EUR,0,1215,0,53
2020-09-09,AD,Andorra,EUR,0,1261,0,53
2021-01-17,AD,Andorra,EUR,92,9038,3,91
2021-01-28,AD,Andorra,EUR,78,9716,1,98
2021-02-18,AD,Andorra,EUR,28,10583,0,107
2021-04-11,AD,Andorra,EUR,41,12497,0,120
2021-04-18,AD,Andorra,EUR,59,12771,0,123
2021-04-21,AD,Andorra,EUR,69,12874,0,123
2021-06-11,AD,Andorra,EUR,14,13805,0,127
2021-06-23,AD,Andorra,EUR,0,13864,0,127
2021-06-30,AD,Andorra,EUR,18,13900,0,127
2021-07-08,AD,Andorra,EUR,30,14021,0,127
2021-07-29,AD,Andorra,EUR,44,14630,0,127
2021-09-19,AD,Andorra,EUR,0,15124,0,130
2021-10-16,AD,Andorra,EUR,12,15338,0,130
2021-10-22,AD,Andorra,EUR,0,15382,0,130
2021-12-30,AD,Andorra,EUR,283,22823,0,140
2022-02-12,AD,Andorra,EUR,66,37140,0,148
2022-03-20,AD,Andorra,EUR,0,39234,0,153
2022-03-28,AD,Andorra,EUR,0,39713,0,153
2022-04-05,AD,Andorra,EUR,0,40024,0,153
2022-04-11,AD,Andorra,EUR,0,40328,0,153
2022-04-16,AD,Andorra,EUR,0,40709,0,153
2022-05-23,AD,Andorra,EUR,0,42572,0,153
2022-05-24,AD,Andorra,EUR,0,42572,0,153
2022-07-02,AD,Andorra,EUR,0,44177,0,153
2022-07-07,AD,Andorra,EUR,494,44671,0,153
2022-07-16,AD,Andorra,EUR,0,45061,0,153
2022-07-26,AD,Andorra,EUR,0,45326,0,153
2022-08-04,AD,Andorra,EUR,285,45793,1,154
2022-08-18,AD,Andorra,EUR,76,45975,0,154
2022-10-01,AD,Andorra,EUR,0,46227,0,155
2022-10-04,AD,Andorra,EUR,0,46227,0,155
2022-10-20,AD,Andorra,EUR,83,46449,0,155
2022-12-30,AD,Andorra,EUR,0,47751,0,158
2023-02-18,AD,Andorra,EUR,0,47866,0,159
2023-03-20,AD,Andorra,EUR,0,47908,0,159
2023-04-13,AD,Andorra,EUR,6,47945,0,159
2023-04-14,AD,Andorra,EUR,0,47945,0,159
2023-08-03,AD,Andorra,EUR,0,48015,0,159
2023-08-08,AD,Andorra,EUR,0,48015,0,159
2023-10-27,AD,Andorra,EUR,0,48015,0,159
2023-11-17,AD,Andorra,EUR,0,48015,0,159
2023-11-20,AD,Andorra,EUR,0,48015,0,159
2024-02-04,AD,Andorra,EUR,0,48015,0,159
2024-02-10,AD,Andorra,EUR,0,48015,0,159
2024-02-16,AD,Andorra,EUR,0,48015,0,159
2024-06-23,AD,Andorra,EUR,0,48015,0,159
2024-07-16,AD,Andorra,EUR,0,48015,0,159
2024-10-05,AD,Andorra,EUR,0,48015,0,159
2024-10-19,AD,Andorra,EUR,0,48015,0,159
2024-10-26,AD,Andorra,EUR,0,48015,0,159
2024-10-29,AD,Andorra,EUR,0,48015,0,159
2024-11-04,AD,Andorra,EUR,0,48015,0,159
2025-02-02,AD,Andorra,EUR,0,48015,0,159
2025-02-08,AD,Andorra,EUR,0,48015,0,159
2025-04-04,AD,Andorra,EUR,0,48015,0,159
2025-04-11,AD,Andorra,EUR,0,48015,0,159
2025-04-18,AD,Andorra,EUR,0,48015,0,159
2025-06-28,AD,Andorra,EUR,0,48015,0,159
2020-01-21,AO,Angola,AFR,0,0,0,0
2020-01-24,AO,Angola,AFR,0,0,0,0
2020-02-12,AO,Angola,AFR,0,0,0,0
2020-03-17,AO,Angola,AFR,0,0,0,0
2020-04-05,AO,Angola,AFR,0,10,0,0
2020-04-06,AO,Angola,AFR,4,14,0,0
2020-04-27,AO,Angola,AFR,1,26,0,0
2020-05-11,AO,Angola,AFR,2,45,0,0
2020-05-19,AO,Angola,AFR,2,50,0,0
2020-06-17,AO,Angola,AFR,0,142,0,6
2020-07-11,AO,Angola,AFR,4,462,0,23
2020-08-11,AO,Angola,AFR,7,1679,3,78
2020-08-12,AO,Angola,AFR,56,1735,2,80
2020-08-28,AO,Angola,AFR,83,2415,2,105
2020-09-02,AO,Angola,AFR,75,2729,1,109
2020-09-05,AO,Angola,AFR,71,2876,2,115
2020-09-19,AO,Angola,AFR,59,3848,3,147
2020-10-08,AO,Angola,AFR,138,5863,5,210
2020-11-30,AO,Angola,AFR,16,15103,1,346
2021-02-26,AO,Angola,AFR,55,20695,1,502
2021-04-24,AO,Angola,AFR,228,25279,2,574
2021-04-28,AO,Angola,AFR,232,25942,4,587
2021-05-22,AO,Angola,AFR,248,31909,5,709
2021-06-01,AO,Angola,AFR,185,34551,2,766
2021-06-13,AO,Angola,AFR,145,36600,6,825
2021-06-15,AO,Angola,AFR,85,36790,5,836
2021-06-16,AO,Angola,AFR,131,36921,6,842
2021-06-26,AO,Angola,AFR,280,38371,2,883
2021-09-24,AO,Angola,AFR,453,53840,26,1460
2021-12-04,AO,Angola,AFR,15,65223,0,1735
2021-12-15,AO,Angola,AFR,45,65476,0,1737
2021-12-23,AO,Angola,AFR,0,65938,0,1738
2022-02-10,AO,Angola,AFR,29,98453,0,1896
2022-02-13,AO,Angola,AFR,13,98514,0,1898
2022-02-18,AO,Angola,AFR,17,98585,0,1899
2022-02-20,AO,Angola,AFR,12,98617,0,1899
2022-04-30,AO,Angola,AFR,0,99323,0,1900
2022-05-28,AO,Angola,AFR,0,99761,0,1900
2022-06-19,AO,Angola,AFR,51,100826,0,1900
2022-06-28,AO,Angola,AFR,49,101320,0,1900
2022-09-07,AO,Angola,AFR,0,103131,0,1917
2022-09-14,AO,Angola,AFR,0,103131,0,1917
2022-09-28,AO,Angola,AFR,0,103230,0,1917
